Name                                     Stmts   Miss  Cover
------------------------------------------------------------
app.py                                    1073    119    89%
app/__init__.py                             59     12    80%
app/routers/__init__.py                      7      1    86%
app/routers/api_key.py                       2      0   100%
app/routers/bmi_pro.py                      38      0   100%
app/routers/foods.py                        20      0   100%
app/routers/plan_export.py                 221      6    97%
app/routers/premium_week.py                 70      4    94%
app/routers/recipes.py                      34      0   100%
app/routers/shoplist_export.py             113      0   100%
app/routers/users.py                        40      0   100%
app/schemas/food.py                         36      0   100%
app/schemas/recipe.py                       34      0   100%
app/schemas/users.py                        10      0   100%
app/schemas/vip.py                         119      0   100%
app/services/food_store.py                  44      0   100%
app/services/recipe_store.py                21      0   100%
bmi_core.py                                136      2    99%
bmi_visualization.py                        89      1    99%
bodyfat.py                                  90      0   100%
core/__init__.py                             5      0   100%
core/aliases.py                             37      0   100%
core/auto_repair.py                        143      5    97%
core/bmi_extras.py                          69      0   100%
core/bmi_extras_pro.py                      68      4    94%
core/bmi_extras_simple.py                   50      0   100%
core/daily_plate.py                         81      0   100%
core/db.py                                 129     25    81%
core/disclaimers.py                         27      1    96%
core/exports.py                            125      2    98%
core/exports_simple.py                      69      4    94%
core/food_apis/__init__.py                   0      0   100%
core/food_apis/openfoodfacts_client.py     119      0   100%
core/food_apis/scheduler.py                132      6    95%
core/food_apis/unified_db.py               185     12    94%
core/food_apis/update_manager.py           440     37    92%
core/food_apis/usda_client.py              142      0   100%
core/food_db.py                             59      1    98%
core/food_db_new.py                         61      0   100%
core/food_merge.py                          70      1    99%
core/food_sources/base.py                   28      0   100%
core/food_sources/off.py                    54      0   100%
core/food_sources/usda.py                   46      0   100%
core/i18n.py                                36      0   100%
core/lifestage_nutrition.py                 79      0   100%
core/meal_i18n.py                           36      0   100%
core/menu_engine.py                        256      5    98%
core/menu_engine_new.py                     94     16    83%
core/models.py                              13      0   100%
core/plate.py                               74      4    95%
core/product_finder.py                     173      6    97%
core/product_varieties.py                  134      2    99%
core/rag/simple_rag.py                      88      3    97%
core/recipe_db.py                           53      3    94%
core/recipe_db_new.py                      115      0   100%
core/recipe_synth.py                       223      1    99%
core/recommendations.py                    138      9    93%
core/region_catalog.py                     116      1    99%
core/rules_who.py                           78      1    99%
core/rules_who_simple.py                     2      0   100%
core/schemas.py                             73      0   100%
core/shoplist.py                           173      0   100%
core/sports_nutrition.py                   108      0   100%
core/targets.py                            160      4    98%
core/time_utils.py                          25      0   100%
core/units.py                                6      0   100%
core/utils.py                               33      0   100%
core/weekly_plan.py                         40      0   100%
core/weekly_plan_new.py                     15      0   100%
llm.py                                      60      0   100%
main.py                                      2      0   100%
mcp_pulseplate_server.py                    80      0   100%
nutrition_core.py                           45      0   100%
nutrition_plate.py                          77      0   100%
providers/__init__.py                        6      0   100%
providers/grok.py                           19      0   100%
providers/ollama.py                         44      0   100%
providers/stub.py                            6      0   100%
secure_config.py                            88      0   100%
settings.py                                  5      0   100%
signed_links.py                             18      0   100%
update_api_key.py                          127     15    88%
verify_requirements.py                      44      0   100%
------------------------------------------------------------
TOTAL                                     7357    313    96%
